pitcher_id,recent_5_pitch_rate,recent_10_pitch_rate,recent_20_pitch_rate,recent_50_pitch_rate
23232,0.6,0.4,0.3,0.32
23235,0.6,0.4,0.45,0.48
23236,1.0,0.8,0.75,0.86
23238,0.4,0.5,0.35,0.52
23240,0.8,0.7,0.55,0.58
23257,0.4,0.6,0.55,0.54
23258,0.2,0.3,0.4,0.38
23260,0.8,0.4,0.35,0.26
23262,0.6,0.6,0.5,0.5238095238095238
23267,0.4,0.7,0.8,0.8222222222222222
23284,0.2,0.1,0.2,0.28
23286,0.4,0.4,0.35,0.44
23288,0.8,0.8,0.75,0.58
23289,0.6,0.7,0.6,0.62
23293,1.0,1.0,0.95,0.7
23294,0.6,0.5,0.5,0.44
23302,0.4,0.6,0.55,0.54
23305,0.6,0.7,0.6,0.68
23306,0.6,0.4,0.5,0.48
23307,0.2,0.5,0.55,0.42
23312,0.6,0.5,0.35,0.32
23314,0.6,0.5,0.3,0.38
23324,0.6,0.8,0.8,0.76
23331,0.4,0.2,0.3,0.48
23332,0.8,0.8,0.65,0.62
23334,0.8,0.6,0.45,0.52
23336,0.4,0.5,0.6,0.74
23342,0.8,0.8,0.8,0.66
23343,0.2,0.3,0.35,0.36
23347,0.0,0.4,0.5,0.44
23348,0.5,0.5,0.5,0.5
23349,0.8,0.8,0.7058823529411765,0.7058823529411765
23352,0.8,0.5,0.625,0.625
23360,1.0,1.0,0.9,0.74
23361,0.6,0.5,0.4,0.54
23362,0.6,0.6,0.4,0.46
23363,0.4,0.6,0.6,0.48
23366,0.6,0.5,0.5,0.66
23369,0.6,0.6,0.6,0.6
23383,0.6,0.4,0.4,0.52
23384,0.6,0.8,0.6,0.6
23385,0.8,0.8,0.85,0.66
23411,0.8,0.7,0.65,0.54
23414,0.8,0.6,0.7,0.64
23415,0.4,0.5,0.5,0.54
23418,0.4,0.5,0.55,0.54
23421,0.6,0.6,0.5,0.58
23422,0.4,0.4,0.4,0.42
23423,0.8,0.8,0.9,0.86
23424,0.6,0.8,0.7,0.56
23426,0.0,0.0,0.3,0.44
23428,0.8,0.5,0.7,0.66
23429,0.6,0.4,0.35,0.44
23431,1.0,0.6,0.6,0.5128205128205128
23437,0.6,0.5,0.45,0.42
23439,0.2,0.4,0.3,0.32
23440,0.6,0.6,0.4,0.46
23444,0.2,0.2,0.5,0.5454545454545454
23446,0.8,0.5,0.4,0.54
23447,1.0,0.7,0.65,0.64
23449,0.6,0.6,0.6,0.6206896551724138
23455,0.0,0.3,0.4,0.38
23458,0.6,0.5,0.7,0.64
23459,0.4,0.3,0.5,0.52
23461,0.4,0.4,0.5,0.4
23462,0.2,0.3,0.15,0.42
23475,0.8,0.7,0.55,0.38
23476,0.2,0.4,0.5,0.5
23478,0.4,0.4,0.55,0.44
23479,0.4,0.4,0.5,0.4
23484,0.2,0.5,0.5,0.38
23485,0.8,0.7,0.85,0.7111111111111111
23487,0.2,0.3,0.2,0.3
23488,0.6,0.4,0.5,0.44
23491,0.8,0.7,0.75,0.64
23496,0.4,0.7,0.45,0.72
23497,0.0,0.1,0.35,0.5
23498,0.6,0.6,0.55,0.6
23499,0.6,0.6,0.65,0.68
23500,0.6,0.5,0.6,0.64
23501,0.4,0.6,0.5,0.5
23502,0.8,0.8,0.7,0.66
23504,0.6,0.5,0.5,0.6
23512,0.2,0.2,0.25,0.4
23513,0.0,0.0,0.05,0.34
23514,0.4,0.4,0.35,0.42
23515,0.4,0.5,0.6,0.48
23516,0.8,0.8,0.75,0.78
23518,0.4,0.6,0.6,0.52
23519,0.8,0.6,0.7,0.68
23520,1.0,0.6,0.45,0.36666666666666664
23532,0.4,0.6,0.45,0.36
23534,0.8,0.8,0.65,0.58
23535,0.2,0.2,0.35,0.32
23536,0.4,0.5,0.65,0.66
23537,0.4,0.6,0.6,0.72
23538,0.2,0.3,0.35,0.4
23540,0.8,0.6,0.45,0.46
23542,0.8,0.8,0.6,0.62
23554,0.4,0.5,0.55,0.58
23555,0.8,0.6,0.6,0.44
23556,0.6,0.5,0.4,0.46
23557,0.4,0.5,0.5,0.56
23558,0.2,0.3,0.35,0.4
23560,0.2,0.4,0.5,0.46
23561,0.2,0.3,0.3,0.48
23564,0.6,0.4,0.4,0.34
23565,0.6,0.3,0.5,0.4
23567,0.2,0.2,0.2,0.42
23568,0.2,0.3,0.4,0.36
23574,1.0,0.7,0.7,0.58
23575,0.8,0.8,0.85,0.7
23589,0.8,0.6,0.45,0.52
23590,0.6,0.5,0.4,0.36
23591,0.8,0.8,0.7,0.7391304347826086
23593,0.6,0.6,0.55,0.46
23596,0.4,0.5,0.6,0.52
23597,1.0,0.7,0.55,0.52
23598,1.0,0.8,0.8,0.86
23599,0.8,0.7,0.65,0.64
23600,1.0,0.9,0.75,0.7
23614,0.2,0.1,0.3,0.42
23615,0.4,0.4,0.35,0.5
23617,0.0,0.1,0.15,0.46
23618,0.4,0.6,0.6,0.62
23624,0.8,0.9,0.9,0.82
23627,0.8,0.5,0.3,0.38
23628,0.6,0.6,0.7,0.7
23630,0.4,0.5,0.55,0.58
23631,0.2,0.5,0.6,0.5
23632,0.0,0.4,0.3,0.26
23633,0.4,0.6,0.6,0.58
23634,0.8,0.8,0.7,0.6
23636,0.8,0.7,0.8,0.7
23637,0.0,0.3,0.35,0.52
23638,0.6,0.6,0.55,0.56
23640,0.6,0.6,0.5,0.54
23642,0.4,0.5,0.65,0.46
23643,1.0,1.0,0.9,0.8
23644,0.8,0.7,0.55,0.54
23648,1.0,1.0,0.95,0.58
23650,0.2,0.3,0.5,0.42
23651,0.6,0.6,0.6,0.56
23652,0.2,0.2,0.3,0.5
23653,0.8,0.5,0.5,0.42
23654,0.6,0.7,0.75,0.56
23655,0.6,0.5,0.55,0.62
23659,0.2,0.3,0.5263157894736842,0.5263157894736842
23660,0.6,0.5,0.6,0.625
23665,0.4,0.3,0.3,0.46
23667,0.8,0.8,0.6923076923076923,0.6923076923076923
23670,0.6,0.7,0.55,0.5357142857142857
23672,0.4,0.3,0.4,0.38
23673,0.6,0.4,0.4,0.38
23676,0.4,0.3,0.4,0.42
23680,0.4,0.6,0.45,0.56
23682,1.0,0.8,0.6,0.6666666666666666
23684,0.2,0.4,0.55,0.5
23689,0.6,0.8,0.85,0.72
23690,0.8,0.6,0.6,0.68
23693,0.2,0.3,0.5,0.5238095238095238
23694,0.6,0.7,0.65,0.68
23695,0.2,0.4,0.5,0.42
23696,1.0,0.9,0.8,0.66
23697,0.6,0.6,0.55,0.52
23699,0.6,0.5,0.5,0.5
23703,0.4,0.6,0.5,0.54
23708,0.8,0.7,0.7,0.74
23713,0.4,0.4,0.4,0.42
23714,0.8,0.9,0.95,0.84
23717,0.6,0.7,0.75,0.72
23719,0.2,0.5,0.5,0.46
23721,0.2,0.5,0.35,0.36
23727,0.6,0.5,0.4,0.48
23729,0.4,0.4,0.6,0.5384615384615384
23731,0.6,0.5,0.45,0.48
23736,0.2,0.1,0.2,0.26
23737,0.4,0.4,0.6,0.5
23738,0.6,0.3,0.2,0.44
23740,0.0,0.2,0.35,0.48
23743,0.4,0.3,0.4,0.58
23745,0.4,0.5,0.35,0.42
23747,0.4,0.6,0.55,0.52
23748,0.4,0.4,0.45,0.42
23749,0.0,0.2,0.2,0.26
23751,0.2,0.2,0.3,0.38
23754,1.0,0.9,0.8,0.68
23758,0.8,0.6,0.65,0.54
23759,0.6,0.7,0.8,0.74
23761,0.4,0.4,0.45,0.44
23762,1.0,1.0,0.95,0.74
23763,0.2,0.3,0.35,0.4230769230769231
23764,0.2,0.4,0.65,0.6
23765,0.6,0.5,0.45,0.58
23766,0.2,0.4,0.4,0.5
23767,0.4,0.5,0.45,0.52
23769,0.6,0.7,0.6,0.44
23771,0.6,0.3,0.35,0.42
23772,0.8,0.7,0.65,0.6
23775,0.4,0.4,0.5,0.52
23777,0.8,0.6,0.65,0.6363636363636364
23779,0.8,0.7,0.5,0.54
23781,0.8,0.8,0.7,0.64
23782,0.4,0.5,0.35,0.36
23783,0.4,0.4,0.4,0.38
23784,0.2,0.4,0.45,0.54
23785,0.4,0.4,0.6,0.6
23786,0.6,0.6,0.4,0.36
23787,0.4,0.3,0.35,0.36
23790,0.6,0.6,0.75,0.56
23794,0.2,0.1,0.3,0.54
23819,0.0,0.3,0.25,0.42
23843,0.8,0.6,0.55,0.46
23848,0.8,0.8,0.65,0.6
23849,0.2,0.5,0.55,0.44
23850,0.6,0.6,0.6,0.62
23852,0.4,0.4,0.4,0.42
23853,0.6,0.5,0.5,0.4
23856,0.6,0.6,0.55,0.58
23857,0.4,0.4,0.35,0.36
23858,0.2,0.2,0.2,0.24
23860,0.6,0.7,0.5,0.48
23863,0.8,0.9,0.85,0.74
23866,0.2,0.1,0.2,0.2
23867,0.8,0.7,0.5,0.46
23868,0.4,0.5,0.5,0.44
23869,0.0,0.3,0.25,0.32
23870,0.2,0.4,0.35,0.34
23871,0.6,0.4,0.35,0.38
23872,0.2,0.2,0.3,0.38
23873,0.8,0.8,0.75,0.782608695652174
23874,1.0,0.9,0.85,0.78
23879,0.6,0.6,0.6,0.72
23880,0.4,0.6,0.65,0.56
23884,0.8,0.9,0.95,0.82
23885,0.4,0.5,0.45,0.5333333333333333
23886,0.8,0.6,0.65,0.48
23887,0.6,0.7,0.7,0.62
23893,0.2,0.5,0.5,0.62
23895,0.4,0.3,0.35,0.32
23897,0.8,0.8,0.7,0.62
23898,0.6,0.7,0.65,0.66
23902,0.6,0.5,0.4,0.38
23903,0.8,0.7,0.45,0.5
23904,0.8,0.5,0.4,0.42
23908,0.6,0.8,0.75,0.6666666666666666
23909,0.8,0.8,0.85,0.82
23910,0.8,0.5,0.55,0.6
23912,0.4,0.3,0.45,0.5
23914,0.4,0.5,0.65,0.6
23915,0.4,0.4,0.35,0.4
23916,0.4,0.6,0.5,0.4
23917,0.4,0.7,0.7,0.56
23920,0.6,0.8,0.65,0.62
23921,0.0,0.4,0.45,0.44
23922,0.2,0.4,0.4,0.4
23923,0.2,0.3,0.3,0.38
23927,0.6,0.8,0.6,0.52
23929,0.4,0.4,0.35,0.48
23930,0.4,0.5,0.4,0.46
23931,0.6,0.6,0.75,0.72
23932,0.8,0.7,0.5,0.46
23933,0.4,0.4,0.45,0.46
23934,0.6,0.7,0.6,0.4
23935,0.8,0.6,0.55,0.52
23936,0.6,0.6,0.6,0.48
23942,0.8,0.7,0.8,0.72
23943,1.0,0.7,0.65,0.64
23944,0.8,0.7,0.8,0.72
23947,0.4,0.5,0.55,0.38
23950,0.8,0.9,0.7,0.72
23951,0.4,0.5,0.5,0.56
23952,0.2,0.1,0.3,0.38
23953,0.8,0.8,0.55,0.52
23954,0.6,0.6,0.65,0.72
23955,0.2,0.3,0.4,0.42
23959,0.0,0.1,0.3,0.3
23962,0.4,0.5,0.55,0.52
23963,1.0,0.8,0.75,0.7
23964,0.2,0.4,0.55,0.48
23966,0.6,0.4,0.4,0.44
23967,0.2,0.4,0.45,0.54
23968,0.8,0.7,0.7,0.68
23972,0.2,0.1,0.35,0.48
23977,0.8,0.6,0.5,0.44
23979,0.0,0.2,0.2,0.28
23982,0.6,0.3,0.3,0.36
23983,1.0,1.0,1.0,1.0
23984,0.6,0.5,0.35,0.36
23985,0.8,0.6,0.65,0.62
23987,0.6,0.7,0.6,0.5
23988,0.4,0.5,0.45,0.46
23991,0.4,0.4,0.6,0.52
24011,0.8,0.7,0.7,0.6
24012,0.4,0.4,0.5,0.4
24013,0.4,0.4,0.35,0.46
24015,0.8,0.8,0.65,0.6428571428571429
24017,0.4,0.4,0.3,0.42
24018,0.8,0.7,0.6,0.54
24020,0.2,0.4,0.4,0.5
24021,0.4,0.5,0.6,0.56
24026,0.2,0.5,0.45,0.46
24027,0.8,0.8,0.75,0.58
24028,0.4,0.4,0.55,0.56
24036,0.8,0.7,0.65,0.6666666666666666
24038,0.8,0.6,0.55,0.4
24039,0.0,0.2,0.15,0.38
24042,0.0,0.2,0.45,0.48
24043,0.4,0.6,0.5,0.5
24044,0.6,0.4,0.45,0.54
24045,0.2,0.3,0.3,0.42
24047,0.4,0.6,0.55,0.44
24048,0.4,0.4,0.3,0.44
24051,1.0,0.7,0.65,0.7
24052,0.2,0.3,0.5,0.64
24053,0.8,0.5,0.5,0.5
24055,0.8,0.8,0.65,0.58
24056,0.6,0.6,0.7,0.58
24059,0.4,0.5,0.45,0.5
24063,0.6,0.6,0.5,0.46
24064,0.4,0.5,0.5,0.46
24065,0.0,0.2,0.4,0.42
24069,0.4,0.3,0.4,0.56
24073,0.4,0.6,0.45,0.48
24076,0.6,0.5,0.55,0.46
24078,0.0,0.2,0.2,0.3
24084,0.8,0.7,0.75,0.7346938775510204
24085,0.4,0.4,0.45,0.56
24086,0.6,0.5,0.4,0.5
24088,0.0,0.2,0.3,0.34
24089,0.4,0.4,0.35,0.42
24094,0.0,0.1,0.25,0.42
24097,0.8,0.6,0.45,0.52
24099,0.6,0.5,0.7,0.6
24100,1.0,0.9,0.8,0.58
24102,0.0,0.4,0.5,0.44
24104,0.8,0.8,0.65,0.48
24105,0.4,0.5,0.5,0.66
24107,0.6,0.5,0.4,0.4
24109,0.8,0.4,0.3,0.4
24110,0.2,0.3,0.35,0.56
24112,0.2,0.3,0.5,0.6
24113,0.2,0.5,0.45,0.62
24115,0.4,0.3,0.25,0.42
24116,0.4,0.2,0.35,0.32
24117,0.4,0.5,0.6,0.66
24118,0.6,0.5,0.55,0.58
24126,0.6,0.6,0.65,0.56
24129,0.6,0.5,0.45,0.46
24131,0.4,0.2,0.25,0.34
24133,0.4,0.5,0.45,0.58
24135,0.8,0.8,0.8,0.66
24136,0.8,0.9,0.7,0.5
24140,0.2,0.5,0.65,0.66
24146,0.4,0.6,0.45,0.52
24147,0.4,0.6,0.45,0.4
24151,0.4,0.4,0.4,0.46
24152,0.2,0.3,0.4,0.44
24153,0.4,0.6,0.65,0.56
24154,0.8,0.9,0.85,0.7
24156,0.4,0.3,0.55,0.48
24157,0.6,0.4,0.4,0.48
24161,0.6,0.4,0.6,0.42
24164,0.4,0.4,0.45,0.62
24165,0.2,0.2,0.45,0.44
24166,0.0,0.2,0.2,0.44
24167,0.8,0.9,0.6,0.54
24168,0.6,0.6,0.55,0.5813953488372093
24169,0.6,0.6,0.5,0.48
24170,0.4,0.4,0.4,0.44
24172,0.6,0.6,0.5,0.48
24173,0.0,0.1,0.2,0.24
24178,0.0,0.2,0.35,0.52
24179,0.2,0.3,0.55,0.5
24181,0.0,0.1,0.35,0.44
24183,0.6,0.6,0.55,0.58
24184,0.4,0.6,0.4,0.5
24185,0.2,0.3,0.45,0.42
24193,0.6,0.7,0.55,0.48
24197,0.6,0.4,0.4,0.3
24198,0.6,0.7,0.75,0.68
24201,0.2,0.2,0.3,0.3
24202,0.4,0.4,0.4,0.5
24203,0.2,0.3,0.35,0.36
24205,0.4,0.6,0.4,0.44
24209,0.4,0.5,0.55,0.5
24211,0.6,0.4,0.4,0.48
24213,0.6,0.6,0.45,0.5319148936170213
24222,0.4,0.6,0.6,0.52
24223,0.2,0.2,0.35,0.34
24224,0.0,0.4,0.3,0.34
24226,0.2,0.4,0.45,0.44
24229,0.8,0.7,0.55,0.62
24234,0.0,0.2,0.4,0.48
24237,0.2,0.4,0.4,0.4
24239,1.0,0.8,0.75,0.58
24240,0.4,0.3,0.3,0.4
24241,0.8,0.8,0.65,0.44
24244,0.2,0.2,0.4,0.42
24246,0.8,0.6,0.55,0.6756756756756757
24247,0.6,0.7,0.5,0.48
24248,0.6,0.7,0.7,0.76
24252,0.4,0.5,0.55,0.42
24253,0.8,0.7,0.65,0.72
24254,0.8,0.7,0.7142857142857143,0.7142857142857143
24258,1.0,0.8,0.7368421052631579,0.7368421052631579
24259,0.6,0.7,0.75,0.62
24262,1.0,0.7,0.7,0.6923076923076923
24265,0.4,0.4,0.45,0.3
24267,0.2,0.2,0.3,0.36
24268,0.6,0.6,0.5,0.5
24269,0.8,0.7,0.65,0.56
24271,1.0,1.0,0.85,0.72
24276,0.0,0.1,0.35,0.38
24277,0.2,0.4,0.4,0.48
24281,0.6,0.6,0.55,0.54
24283,0.6,0.7,0.75,0.52
24286,0.2,0.3,0.5,0.46
24293,0.8,0.8,0.7647058823529411,0.7647058823529411
24300,0.2,0.4,0.4,0.44
24303,0.4,0.3,0.35,0.48
24305,0.8,0.6,0.5,0.44
24306,0.8,0.8,0.7,0.58
24307,0.2,0.3,0.4,0.5
24310,0.2,0.4,0.55,0.48
24311,0.8,0.9,0.95,0.8857142857142857
24313,0.4,0.2,0.3,0.46
24314,0.6,0.7,0.5,0.46
24317,0.6,0.6,0.6,0.52
24319,0.8,0.8,0.5,0.46
24327,0.8,0.6,0.5,0.56
24328,0.4,0.3,0.3,0.26
24329,0.4,0.3,0.25,0.36
24333,0.4,0.5,0.5263157894736842,0.5263157894736842
24334,0.0,0.2,0.25,0.26
24338,0.4,0.4,0.45,0.48
24339,0.6,0.3,0.55,0.48
24340,0.4,0.5,0.6,0.6
24343,0.4,0.4,0.55,0.38
24344,0.2,0.2,0.3,0.4
24346,0.6,0.6,0.55,0.5
24349,0.0,0.1,0.35,0.5
24355,0.6,0.4,0.45,0.48
24358,0.8,0.6,0.5,0.58
24369,0.8,0.6,0.6,0.52
24370,0.4,0.7,0.65,0.68
24373,0.6,0.4,0.5,0.52
24374,0.4,0.2,0.3,0.2857142857142857
24376,0.0,0.4,0.35,0.42
24377,0.6,0.7,0.4,0.46
24380,0.0,0.2,0.4,0.40540540540540543
24387,0.0,0.2,0.45,0.54
24388,0.6,0.4,0.4,0.48
24389,0.4,0.4,0.45,0.46
24390,0.2,0.5,0.55,0.5714285714285714
24391,0.4,0.6,0.4,0.34285714285714286
24392,0.2,0.3,0.35,0.28
24394,0.6,0.5,0.55,0.54
24398,0.6,0.6,0.55,0.54
24399,0.6,0.6,0.55,0.42
24401,0.8,0.7,0.45,0.56
24410,0.6,0.5,0.3,0.34
24411,0.0,0.3,0.35,0.4
24412,0.6,0.5,0.5,0.44
24420,0.2,0.3,0.4,0.42
24423,0.6,0.3,0.35,0.38
24424,0.6,0.6,0.45,0.52
24425,0.4,0.4,0.45,0.54
24433,0.4,0.3,0.55,0.6428571428571429
24434,0.2,0.4,0.3,0.4
24440,0.6,0.6,0.55,0.56
24444,0.2,0.1,0.3,0.46
24446,1.0,0.8,0.7,0.68
24447,0.4,0.4,0.4,0.52
